url,title_text,price_lkr,brand,model,year,mileage_km,fuel_type,engine_capacity_cc,transmission,location
https://ikman.lk/en/ad/bmw-318i-luxury-line-21000km-2017-for-sale-colombo,"BMW 318i Luxury Line 21,000Km 2017 for Sale in Dehiwala | ikman",16850000,BMW,318i,2017,21000,Petrol,1500,Automatic,
https://ikman.lk/en/ad/honda-fit-2015-for-sale-matara,Honda Fit 2015 for Sale in Matara City | ikman,8200000,Honda,Fit,2015,90000,Petrol,1500,Automatic,
https://ikman.lk/en/ad/toyota-premio-g-superior-2014-for-sale-gampaha-495,Toyota Premio G SUPERIOR 2014 for Sale in Kadawatha | ikman,11475000,Toyota,Premio,2014,116000,Petrol,1500,Automatic,Gampaha
https://ikman.lk/en/ad/toyota-yaris-cross-z-grade-2023-for-sale-kegalle-43,Toyota Yaris Cross Z grade 2023 for Sale in Mawanella | ikman,14975000,Toyota,Yaris Cross,2023,13850,Hybrid,1500,Automatic,Kegalle
https://ikman.lk/en/ad/honda-civic-grand-efi-1989-for-sale-matale,Honda Civic Grand efi 1989 for Sale in Pallepola | ikman,1950000,Honda,Civic,1989,180000,Petrol,1500,Manual,
https://ikman.lk/en/ad/toyota-land-cruiser-prado-150-txl-2023-for-sale-colombo-17,Toyota Land Cruiser Prado 150 TXL 2023 for Sale in Kohuwala | ikman,52500000,Toyota,Land Cruiser Prado,2023,9000,Petrol,2700,Automatic,Colombo
https://ikman.lk/en/ad/toyota-alphard-executive-lounge-2024-for-sale-colombo-63,Toyota Alphard Executive Lounge 2024 for Sale in Kohuwala | ikman,59500000,Toyota,Alphard,2024,0,Petrol,2500,Automatic,Colombo
https://ikman.lk/en/ad/bmw-740e-iperformance-2017-for-sale-colombo,BMW 740e iPerformance 2017 for Sale in Kohuwala | ikman,36500000,BMW,740e,2017,35000,Petrol,2000,Automatic,
https://ikman.lk/en/ad/audi-a5-2018-for-sale-colombo-192,Audi A5 2018 for Sale in Colombo 1 | ikman,19500000,Audi,A5,2018,69000,Petrol,1400,Automatic,Colombo
https://ikman.lk/en/ad/daihatsu-mira-safety-limited-2025-for-sale-gampaha-8,Daihatsu Mira Safety Limited 2025 for Sale in Gampaha City | ikman,6675000,Daihatsu,Mira,2025,0,Petrol,660,Automatic,Gampaha
